tx_node,role,policy,threshold_family,startup_offset_ms,expected_send_fraction,modeled_send_period_ms,offset_mod_1000_ms,offset_mod_2000_ms,offset_mod_4000_ms,offset_mod_8000_ms,modeled_send_times_ms,fixed_anchor_mod_slot_alignment_flag_count
TXA/N01,fixed-all anchor,fixed_all,,500,1.0,1000,500,500,500,500,"[500, 1500, 2500, 3500, 4500, 5500, 6500, 7500]",0
TXB/N16,medium threshold scheduled skipping,usefulness_threshold,medium,750,0.5,2000,750,750,750,750,"[750, 2750, 4750, 6750]",0
TXE/N61,medium threshold scheduled skipping,usefulness_threshold,medium,1750,0.5,2000,750,1750,1750,1750,"[1750, 3750, 5750, 7750]",0
TXH/N106,medium threshold scheduled skipping,usefulness_threshold,medium,2750,0.5,2000,750,750,2750,2750,"[750, 2750, 4750, 6750]",0
TXK/N151,medium threshold scheduled skipping,usefulness_threshold,medium,3750,0.5,2000,750,1750,3750,3750,"[1750, 3750, 5750, 7750]",0
TXL/N166,medium threshold scheduled skipping,usefulness_threshold,medium,4750,0.5,2000,750,750,750,4750,"[750, 2750, 4750, 6750]",0
TXC/N31,strict threshold scheduled skipping,usefulness_threshold,strict,1250,0.25,4000,250,1250,1250,1250,"[1250, 5250]",0
TXF/N76,strict threshold scheduled skipping,usefulness_threshold,strict,3250,0.25,4000,250,1250,3250,3250,"[3250, 7250]",0
TXI/N121,strict threshold scheduled skipping,usefulness_threshold,strict,5250,0.25,4000,250,1250,1250,5250,"[1250, 5250]",0
TXD/N46,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,0,0.125,8000,0,0,0,0,[0],0
TXG/N91,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,2500,0.125,8000,500,500,2500,2500,[2500],1
TXJ/N136,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,4500,0.125,8000,500,500,500,4500,[4500],1
