tx_id,node_id,role,policy,threshold_family,startup_offset_ms,expected_send_fraction,notes
TXA,N01,fixed-all anchor,fixed_all,,500,1.000,Only fixed-all anchor in conservative twelve-transmitter candidate
TXB,N16,medium threshold scheduled skipping,usefulness_threshold,medium,750,0.500,Medium-rate lane separated from fixed-all anchor
TXE,N61,medium threshold scheduled skipping,usefulness_threshold,medium,1750,0.500,Medium-rate lane
TXH,N106,medium threshold scheduled skipping,usefulness_threshold,medium,2750,0.500,Medium-rate lane
TXK,N151,medium threshold scheduled skipping,usefulness_threshold,medium,3750,0.500,Medium-rate lane
TXL,N166,medium threshold scheduled skipping,usefulness_threshold,medium,4750,0.500,Medium-rate lane
TXC,N31,strict threshold scheduled skipping,usefulness_threshold,strict,1250,0.250,Strict-rate lane
TXF,N76,strict threshold scheduled skipping,usefulness_threshold,strict,3250,0.250,Strict-rate lane
TXI,N121,strict threshold scheduled skipping,usefulness_threshold,strict,5250,0.250,Strict-rate lane
TXD,N46,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,0,0.125,Preserves successful Run 031 Condition B sparse phase relation
TXG,N91,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,2500,0.125,Sparse lane
TXJ,N136,very-strict threshold scheduled skipping,usefulness_threshold,very_strict,4500,0.125,Sparse lane
